id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
7_20_tips,6.0,0.1764705882352941,1.118971006,0.4026100701912509,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_50_tips,8.0,0.0851063829787234,0.7467741521000002,0.1936012372523959,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_10_tips,2.0,0.1428571428571428,0.5052510100000001,0.2573033200279427,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
6_50_tips,14.0,0.1489361702127659,5.00265315,1.4871847809641612,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_50_tips,10.0,0.1063829787234042,13.73190427,3.562673737978272,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_10_tips,0.0,0.0,7.372055449999999,3.2744272991785484,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_10_tips,2.0,0.1428571428571428,14.90761789,7.473318894599308,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
13_200_tips,32.0,0.0812182741116751,17.806487943000004,3.0989789141810875,200,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_50_tips,8.0,0.0851063829787234,0.6267366409999999,0.1769406396326744,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_50_tips,10.0,0.1063829787234042,1.39617328,0.3749013192713496,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_100_tips,62.0,0.3195876288659793,0.16982028977,0.02190827641743,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_50_tips,10.0,0.1063829787234042,0.1818051536,0.0387709835542665,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
9_50_tips,10.0,0.1063829787234042,2.987561417,1.9363853555432813,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_50_tips,12.0,0.1276595744680851,1.701780928,0.3574622977418333,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
