id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb
9_20_tips,0.0,0.0,0.1206616199999999,0.0394639767404426,20,,FastME,0.06030607223510742,
6_20_tips,2.0,0.0588235294117647,0.1143601599999999,0.035638897319269,20,,FastME,0.06030607223510742,
17_20_tips,6.0,0.1764705882352941,0.3787967049999999,0.1959974959056865,20,,FastME,0.06030607223510742,
2_20_tips,2.0,0.0588235294117647,0.7060485999999999,0.2479186486686872,20,,FastME,0.06030607223510742,
15_20_tips,33.0,1.0,1.2061315149999998,0.3542604278417079,20,,FastME,0.06030607223510742,
13_20_tips,2.0,0.0588235294117647,0.14498391,0.0484076404564558,20,,FastME,0.06030607223510742,
4_20_tips,4.0,0.1176470588235294,0.6944339399999999,0.2140416072870585,20,,FastME,0.06030607223510742,
14_20_tips,33.0,1.0,0.3614719249999999,0.0846774713420268,20,,FastME,0.06030607223510742,
1_20_tips,0.0,0.0,1.16461975,0.4846688767278018,20,,FastME,0.06030607223510742,
0_20_tips,33.0,1.0,3.36122288,1.2474838318307768,20,,FastME,0.06030607223510742,
